[14:19:37] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[14:19:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:19:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:19:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:19:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[14:19:41] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[14:19:41] [ServerMain/INFO]: Reloading ResourceManager: Default
[14:19:46] [Worker-Main-4/INFO]: Loaded 7 recipes
[14:19:49] [Worker-Main-4/INFO]: Loaded 1141 advancements
[14:20:01] [Server thread/INFO]: Starting minecraft server version 1.18.1
[14:20:01] [Server thread/INFO]: Loading properties
[14:20:01] [Server thread/INFO]: Default game type: SURVIVAL
[14:20:01] [Server thread/INFO]: Generating keypair
[14:20:02] [Server thread/INFO]: Starting Minecraft server on *:25565
[14:20:02] [Server thread/INFO]: Using epoll channel type
[14:20:04] [Server thread/INFO]: Preparing level "world"
[14:20:05] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[14:20:13] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[14:20:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
